stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,1.41,0,0,0,0,1.97,0.56,0,0,0.28,0,0,0,0,0,0
21Day,0.37,0,0,0.37,0,0.74,0,0.37,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,2.59,0.74,0,0,0,0,0.37,0,0,0,0
3Month,0.1,0.62,0.1,5.93,0.1,0,0.1,0.21,0.73,1.77,0,4.89,1.14,0.42,5.72,0.83,1.87,2.29,1.77,0.42,0,0.73,1.25,0.83,0.31,1.25,0.31,0.1,11.44,0.42,0.1,0.83,1.04,1.98
22Month,0,0.27,0.41,0.96,0.14,0,0,0,0.27,1.37,0.41,7.52,0.68,0.14,5.74,0.27,0.41,1.64,1.64,0,0.14,0.27,0.14,0,0,0.27,0,0,1.91,0.41,0,0.14,0,0.55
