stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,T_cell
24hpf,19,0,0,0,0,0,0,0,0,0,1,0,0
72hpf,13.53,0,0,0,0,0,0,0,0.28,0,0,0,0
21Day,5.92,0.37,0.37,0,0,0.37,0,0,0.37,0.37,0,0,0.37
3Month,1.04,0.21,0,0.1,0.52,0,0.1,0.1,0.1,0,0,0.42,0.1
