stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.56,0,0,0,0,0,0,0,0,1.13,0,1.13,0,0,0,1.41,0.56,0,0,3.66,0,0,0,0,0,0,0
21Day,0.74,0,0.37,0,0,0,0.37,0,0,0,0,0,0,6.29,0,1.11,0,0,0,0.37,0,4.44,0,0,0,0.37,0,0,0
3Month,0,0.21,1.04,0.1,0.52,0.1,9.15,0,0.1,0.21,0.1,0.73,0.21,1.77,0.1,0.52,0.1,0,0,0.31,0,0,0.42,0.31,0,0.1,0,0.1,0.62
22Month,0,0.27,0.41,0.14,0,0.41,19.4,0.55,0.14,1.37,0.14,0,0,1.64,0,0.14,0,0,0,0,0.14,0,0,0,0.14,0,0.14,0,0.55
