stage,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,23.96,0.28,0,0,0,0,17.76,0,2.25,0,0,2.54,0.56,0,1.13,0,0.28,0,0,0,0
21Day,7.4,1.11,0.37,0,0.37,0,9.25,0.37,21.83,0,0.37,0.37,1.11,0,12.58,0.74,0,0.37,0.37,0,0
3Month,0.1,0,0,0.1,0.1,0.1,2.7,0,4.99,0.83,0.1,0,0,0.1,0,0,0,0,0,0.1,0.21
22Month,0,0,0.14,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0
