stage,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0.28,0,1.97,0.56,0,0,0
21Day,0.37,0.37,0,0,0,0,0,0,1.48,0,0,0,0,0,0
3Month,0.42,0,0.1,0.62,0.1,0.21,0.1,0.42,0.21,0.21,0.21,0,0.1,0.1,0.21
22Month,0,0,0.14,0.55,0.27,0,0,0,0,0,0,0,0,0,0
