stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,56,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,186,0,0,0,3,263,1,0,0,21,0,0,0,0,0,0,0,0
72hpf,12.68,5.07,0,0.85,0.28,1.13,0,0.85,0,0,0,0,0,0,8.46,0,0.28,0.85,0.28,77.79,0,0,0.28,21.14,9.86,0,0,0,74.69,0,0,0.56,0,0,0.56,0,0
21Day,58.09,0.74,0,2.22,0,1.85,0,0,0,0,0,0,0,0,6.29,1.85,0,1.48,1.11,56.98,0,0,0.74,5.18,1.85,0,0.37,0,5.55,1.85,0,0.37,0.37,0.37,0.74,0,0.74
3Month,1.04,18.72,0,1.35,0,0,0.1,0,0.1,0.1,0.31,0,1.35,0.62,0.42,0.52,0.21,0.31,0.42,2.91,0.42,0,3.33,0.31,0.1,0.1,0.31,0,0.1,0.21,7.49,0,0,0,0.1,0.52,0.62
22Month,0.82,20.5,0.14,0.27,0,0,0,0.14,0,0,0.82,0.14,2.87,0.68,0.14,0.96,0,0,0.82,3.42,0.55,0.41,3.14,0.68,0.14,0,0.27,0.68,0.41,0.14,17.35,0.14,0,0,0.27,0,0.55
