stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0.28,0,0,0,1.69,3.38,0,0
21Day,0.74,0.74,0.37,1.11,0.37,0.37,0.37,0.74,0,0.37,0.37,1.11,1.48,0,0,3.33,0.37,0.37,1.11,0.37,0,0,19.61,103.6,0.37,0.74
3Month,0,0.52,0.1,0,0,0,0,0,0,0,0,0,0.21,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.1
22Month,0,0.14,0,0,0,0.55,0,0,0.14,0,0,0,0.82,0,0,0,0,0,0,0,0.14,0.14,0.14,0,0,0
