stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,9,26,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0.56,0,0.28,0.56,0.28,0,0,0,0,0,0,0,0.28,1.13,0.28,0.56,0,0,0,18.6,60.03,0,0.28,0,2.25,0.56,0,0,0.56,0.28,0,0,0,0
21Day,1.48,0,0,1.48,0.37,0.37,0,0,0,0,0,0,0,0,0.74,0,0.74,0,0,0.37,12.58,29.97,0,0,0,1.48,4.07,0.37,0,0,0.74,0,0,0,0
3Month,0,0,0,0.94,0,0,0.1,0.21,0,0,1.25,0.21,0.1,0,0.21,0.31,0.31,0.1,0,0.1,0.1,1.46,0.1,0.1,0,0,3.74,3.22,0.1,0,0,0.94,0.1,0.21,0.21
22Month,0,0,0.14,0.68,0,0,0,0.27,0.41,0,4.78,0.14,1.09,0.14,0,0.27,0.82,0,0.14,0.14,0.96,1.78,0,0,1.78,0,0.27,7.52,0.41,0,0,0.82,0,0,0
