stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,18.6,1.41,0,0,0,0.28,0,0,0.28,0.28,0
21Day,0,0,0,0,0,0,0,0,0,0.37,0,8.88,0.74,0,0,0,0,0.37,0,0,0,0
3Month,0,0,0,0.42,0.1,0.1,0.52,0.42,0.1,0,0.1,0,0.1,0.31,0.21,0,0,0,0.31,0,0,0.1
22Month,0.14,0.14,0.14,4.1,0,0.14,0.68,0,0,0,0,0,0,0.14,0.27,0.14,0,0,0.68,0,0,0.14
