stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,11.84,2.25,0,9.86,2.25,14.37,0,1.13,0,0,0,0.28,0.28,0,0.56,0,6.48,25.37,1.41,42.56,0.56,0.56,0.28,149.38,68.77,0.56,1.13,35.51,0.56,0,9.58,1.41,1.13,1.97,0,0
21Day,12.95,4.44,2.59,58.83,1.85,34.41,0,5.55,1.11,1.48,0,0,10.36,1.11,12.21,7.77,3.33,32.56,9.99,78.81,0,12.21,0.74,61.79,31.45,0.37,2.59,27.38,12.21,0,7.4,3.33,8.88,1.85,0.37,12.21
3Month,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0
22Month,0,0,0,0,0,0,0,0,0,0,0.27,0,2.6,0,0,0.68,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0
