stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0.56,0,0,0,0,0,0,1.69,0.28,0,0
21Day,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0.37,0,0
3Month,0.21,0.1,0.1,0.73,0.1,1.87,0.1,0.1,0.31,0.1,0.1,0.1,0.1,0,0,0.1,0.62
22Month,0.27,0,0,1.78,0.14,1.37,0,0.14,0.14,0.41,0,0,0,0.14,0,0,0
