stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Smooth_muscle_cell,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.56,0.28,0,0,0
21Day,0,0,1.11,0,0,0,0,0,0,0.74,0,0,0.37,0,0.37,0,0,0,0,0,0,0,0,0.37
3Month,0,0,1.25,0,0.21,0.31,0.1,1.35,0.42,0,0.52,0,0.1,0.21,0.42,0.1,0,0.1,0.1,0,0.1,0,0.1,1.46
22Month,0.14,0.27,0.55,0.41,0,4.37,0.41,6.56,2.73,0.41,0,0.14,0.41,0.96,2.6,0.41,0.14,0.27,0,0,0,0.14,0,0.55
