stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,15,0,0,0,0,0,0,0
72hpf,0.28,0,1.41,0.28,0,0,0,0,0,0,0,0,0,0,0.85,0,0.28,7.89,3.38,0.28,0.85,0,0,0.28,0,0
21Day,0,0,0.37,0.74,0,0,0,0,0,0.37,0,0,0.37,0,1.85,0.37,0,0,1.11,0,0.37,0,0.74,0,0,0
3Month,0,0.1,0.73,0,0.1,0.1,0.1,0.42,0,0,0.31,0,0.42,0.31,0.1,0,0,0.1,0,0,0,0.52,0,0,0.21,0
22Month,0,0,0.68,0,0,0,0.14,1.09,0.14,0.27,0,0.14,0,0.14,0.27,0,0,0,0,0,0,0,0,0,0,0.14
