stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0
72hpf,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0.28,1.41,0.28,0,0,0,0,0,0,0,0,0
21Day,16.65,0,0,0.74,0,0.37,0,0,0,0,0,0,0,0.37,0,1.48,0,0,3.33,0.37,0,0,0,0.37,0,0.37,0.37,0,0,0
3Month,0.1,0,0,11.75,0.21,0.1,0.31,2.91,0,2.08,0.52,0.1,1.35,3.02,2.7,0.1,0.1,0,0.31,0.21,0,0,0.1,0.21,0.52,0,0,0.21,0.1,0.21
22Month,0,0.68,0.82,3.83,0.14,0,1.91,3.42,2.19,11.48,0.14,0,6.15,1.5,2.6,1.09,0,0.14,0.55,0,0,0.27,0.14,0.27,0.27,0,0,0,0,0.82
