stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0.28,0,0.28,0,0,0,0,0.85,0,0.56,0,18.88,1.97,0.28,0,0.28,0,0,0.85,0,0
21Day,0.74,0,0.37,0,0.37,0,0.37,0,0.37,0.37,0.37,0,0,0,9.99,0.37,0,0,0.74,0,0,0.37,1.48,0
3Month,0,0.1,0.1,0,0,0.1,0.83,0.21,0,0.1,0,0,0.1,0.1,0.1,0,0,0.1,0,0,0.1,0,0,0
22Month,0.14,0,0.27,0,0,0.14,2.19,0,0,0,0,0.14,0.14,0,0.27,0,0.14,0,0,0.14,0,0,0,0.14
