stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,43,0,0,2,0,0,0,0,1,0,0,0
72hpf,0.85,0.85,2.54,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0.85,4.79,0,4.51,0,0,0.28,0.28,18.04,11.56,0,0,3.66,0,0,1.41,0,0.56,0,0,0
21Day,0.74,0.37,2.96,0.37,2.22,0.74,0,0,0,0,0,0,0,1.11,0,0,1.85,0.74,5.55,0,0,0.37,0,2.96,1.48,0,0,2.22,0.74,0,0.74,0.37,0,0,0,0
3Month,0,1.46,4.26,0.1,0,0,0.1,0.62,0.73,0,0,3.54,0.62,0,1.35,0.52,3.22,1.56,3.12,0.83,0,0.42,0.42,0.52,0,0.21,0.1,0,0.1,1.66,0,0,0,0.52,0.94,0.83
22Month,0,0.82,2.73,0,0,0.14,0,0.55,6.01,0.14,0,36.49,1.37,0.14,8.06,0.14,0.68,6.15,3.01,0.27,0.96,0,0,0,0,0.14,0.14,0.14,0,1.5,0.14,0,0,0.14,0,0.41
