stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4,1,0,8,0,0,0,0,1,0,1,0,0,1,3,12,1,9,707,0,0,2,0,0,0,0,0,1,0,0
72hpf,5.07,0,0,2.25,0.85,4.51,0,0,0,0,0.28,0,0.56,5.92,0.85,7.05,0.56,184.89,149.94,0.28,1.13,5.92,0.28,0,23.39,0.28,0,0.56,0,0
21Day,0.74,0,0.37,1.85,0,2.22,0,0,0,0.74,1.48,1.11,0,1.85,0.37,3.33,0.37,56.24,44.03,0.37,0.74,1.85,1.85,0.74,13.69,0.74,0.37,0,0,0.74
3Month,0,0,0,0.42,0,0,0.1,0,0,0,0,0.21,0,0.21,0,0.1,0,0,0.73,0,0,0,0,0.52,0.21,0,0,0,0.31,0
22Month,0,0,0,0.14,0,0,0,0.14,0,1.78,0,0,0,0,0.14,0.14,0,0,0,0,0,0,0.14,2.46,0.14,0,0,0,0,0
