stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,5,0,1,0,0,0,0,0,0,0
72hpf,25.93,2.25,0,1.13,1.13,0,0,0,0,0,0,0.56,0,5.92,0,0,0.28,3.95,2.82,0.56,1.41,0,0,0.56,0.28,0,0,0
21Day,11.84,0,0,0.74,0.37,0,0,0,0,0,0,2.22,0.37,19.98,0,0,10.73,1.48,1.48,1.11,2.22,0.74,0,0,0,0.37,0,0
3Month,0.52,0,0,0.62,0,0,0,0,0.42,0,0.21,0.21,0.1,0.62,0,0,0.62,0,0,1.87,0,0,0.1,0,0,0,0.21,0.21
22Month,0.14,0.14,0.14,0.27,0,0.14,0.27,0.82,0.82,0.14,0.27,0.14,0.14,0.55,0.14,0.27,1.78,0,0.14,3.01,0,0,0,0,0,0,0,0
