stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,2,4,2,0,1,0,2,0,0,0,0,2,5,17,0,1,3,73,1,0,0,2,0,0,0
72hpf,0.56,0.28,1.13,0,0,0,0,0,0,0.28,0,0.28,0.28,0,1.69,0,0,3.38,6.76,0.28,0,0,0.28,0,0,0
21Day,0,0,1.11,0,4.81,0.74,0,0,0,0.74,0,0,1.11,0,0.74,0.37,0,0.37,4.07,0,0.74,0.37,0,0.37,0,0
3Month,0,0,0.1,0,0,0,0,0,0.21,0,0.1,0,0.1,0,0,0,0,0,0,0,0.1,0.42,0,0,0.1,0.1
22Month,0,0,0,0,0,0,0.14,0,0.82,0.14,1.78,0,0,0.14,0,0.14,0,0,0,0,0,0.14,0,0,0,0
