stage,Cardiomyocyte,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,1,0,1,1,1,4,0
72hpf,0,0,0,0,1.97,0,0.28
21Day,0,0,0,0,0,0.74,0
3Month,0,0.21,0.1,0,0,0,0
22Month,0,0.82,0,0.14,0,0,0
