stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,41,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0.56,0,0,0,0,0,0,0
21Day,0,0,0,1.11,0.37,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,1.48,0.37,0,1.11,0,0,0,0,0
3Month,0,0,0.1,0.83,0,0,0.21,0.31,0,1.87,0.31,0,0.73,0.1,0.1,0.31,0.62,0,0,0.1,0,0.21,0,0.42,0.31,0,3.74,0.42
22Month,0,0.14,0.14,0.41,0,0.14,0,0.55,0.55,8.2,0.41,0.27,1.37,0,0.27,0.55,0.55,0.55,0.14,0,0,0.14,0,0,0,0.14,0,0
