stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,76,1,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0.56,0,0.56,0,5.92,7.33,0,0,0.28,0,0,0.28,0.28,0,0
21Day,0,0,3.33,0,0.37,0,0,0.37,0,0,0,0.37,0,0.74,0,3.33,5.92,0,0,0,0,0,0,0,0,0.37
3Month,0.1,0,2.7,0.1,0,0.1,0.1,0.62,0.1,0.1,0.1,0.83,0.21,0.31,0.1,0.94,0.1,0.1,0,0,0.21,0.1,0,0.1,0.31,0.21
22Month,0,0.14,1.23,0,0,0,0,1.5,0,0,0,0,0.14,1.91,0,0.82,0,0.55,0.14,0,0,0,0.27,0,0,0
