stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
72hpf,0,0.28,0,0,0,0,0,0,0,0.28,0.28,0.28,0,0,0.85,0.56,0,0.28,0,0.28,0,0
21Day,0.37,0.74,1.11,0,0,0,0,0.74,0,0,0.37,1.48,0,0.37,1.11,1.48,0,0,0,0,0,0
3Month,0,0.21,0,0.1,0.1,0.21,0.1,0,0.1,0.21,0.31,0.21,0.1,0,0,0,0.1,0,0,0,0.1,0.21
22Month,0,0,0.14,0,0,1.23,0.14,0,0.27,0,0.14,0,0,0,0,0,0,0,0.27,0,0,0.14
