stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulosa_cell,Hepatocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,T_cell
24hpf,12,0,0,0,0,1,0,0,21,0
72hpf,0,0.28,0,0,0,0.28,0.28,0.56,0.28,0
21Day,0.37,0,0,0,0,0,0,0,0,0.37
3Month,0,0.1,0.21,0,0.31,0,0,0,0,0.1
22Month,0,0.41,0,0.14,0,0,0,0,0,0
