stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.56,0,0,0,0.56,0,0,0,0,0,0,0,0.28,0,0,1.13,0,0,0,0,0,0,0.56,0.28,0,0.28,0.85,0,0,0,0,0,0,0
21Day,0.74,0.37,0,4.81,0.37,0.74,1.48,0.37,0.74,0,0,0,0,4.07,0,0.74,1.11,1.11,4.44,0,0,0.37,0,1.11,1.11,0,0,1.85,0,0,0.74,0,0,0,0.37
3Month,0,0.42,0,2.5,0,0,0,0.42,1.04,0,0,1.98,1.25,0.21,1.35,0.1,1.35,1.46,0.42,0.31,0,0.1,0.1,0.21,0,0.31,0.1,0.1,0.1,0,0,0,0.42,0.62,1.77
22Month,0,0.27,0.14,3.14,0,0,0.14,1.09,7.79,1.78,0,6.7,1.37,1.09,4.78,0,0.82,3.69,2.32,0,0.27,0.41,0,0.27,0.27,0.55,0.27,0,0.14,0.27,0.27,0.14,0.27,0,2.32
