stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0.85,0,0.56,0,0,0,1.97,0.56,0.28,0,0,0,0,0,0,0
21Day,0.37,0,0,1.11,0,0,0,0,0,0,0,0,0,0.37,0.37,0.74,0,0,0,4.44,0.37,1.11,0,0,0.74,0,0,0,0
3Month,0,0.42,0.1,1.35,0,0.21,0.1,0,2.08,0.52,0,1.56,0.31,4.47,0.42,0.31,0.21,0,0.42,0.1,0,0.62,0,0.21,3.12,0,2.7,0.31,0.21
22Month,0,0,0,0.82,0.14,0.14,0.27,0.55,5.33,0.14,0.14,0.41,0,0.68,0.27,0.41,0,0.14,0.14,0,0,0.55,0.14,0,0.41,0.14,0.14,0,0.27
