stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,6,1,0,0,0,0,0,0
72hpf,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0.28,0,0.85,0,0,0.56,0.28,0,0,0,0,0,0,0
21Day,0.37,0,0,1.48,0,0.37,0,0,5.55,0,0.37,1.85,0,0.74,0,0,0,0,0.37,0.37,0.37,0.37,0,0,0,0,0.37
3Month,0,0.21,0.21,3.43,0,0,0.1,0.21,17.37,0.1,4.68,0.62,0.1,0.21,0.21,0,0,0.21,0.21,0.1,0,0.42,2.6,0,0.31,1.04,0.42
22Month,0,0,0,0.27,0,0,0,0.27,3.28,0.14,4.24,0,0,0,0,0,0.14,0,0,0,0,0,0.41,0.14,0,0,0
