stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
72hpf,1.41,0,0,0.85,0.85,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0,32.41,1.69,0.28,0.28,0.28,0,0,0,0,0,0
21Day,0.37,0,0,0.74,2.22,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,9.25,1.11,0,0,0.37,0.37,0,0.74,0,0,0.37
3Month,0.1,0.21,0.1,1.87,1.04,0,0,0.1,0.1,1.14,0.62,0,0,1.25,0.42,0,0.52,0.52,0.94,0.42,0.52,0.21,0,0.21,0.31,0.42,0,0.62,0.21,0,0,7.07,0,0.31,22.78,0.1
22Month,0,1.64,0.27,3.01,0,0,0.14,0,0,0.41,1.64,0.14,0,19.13,1.64,0.96,2.6,0.14,0.96,1.91,1.91,0,0.41,0.41,0,0,0.27,0.27,0.96,0.27,0.14,0.96,0.27,0.14,0,0.55
