stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0,0,0,1.41,0,0.28,0,0,0,0,0,0.28,0,0.28,0.85,0,5.64,0,0,0.85,73.56,4.51,0.28,0.28,3.95,0,0,0,0.85,0,0,0.28,0,0,0
21Day,1.48,0.37,0,3.7,4.07,0,0.74,0,0,0,1.11,0,0.74,0.74,0,1.48,1.11,4.07,0,0,29.6,68.45,1.11,0.37,0,1.48,1.85,0,0,1.48,0.37,0.74,0.37,0,0,0.37
3Month,0,0.31,0.21,2.7,0,0.1,0,2.29,0.83,0,0.73,2.5,0.42,0.83,0.1,0.1,1.66,2.6,0.21,0,9.67,2.6,0,1.25,0,0.31,0.1,0.1,2.29,0.42,0,0,0.21,0.21,0.62,2.91
22Month,0,0.96,0,1.23,0,0,0,0.14,0.82,0.55,8.34,0.55,0.55,0.96,0,0,0.55,0.96,0,0.14,6.15,3.42,0,0.96,0.41,0,0.14,0,0.55,0.55,0,0,0,0,0,0.68
