stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,1,0,0,0,1,1,0,2,0,0,16,0,1,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0,0.28,0,0,0,1.69,1.97,0,0,0,0,0,0
21Day,0.37,0,0.74,0.74,0,0,0,0,0,0.37,0,0,0,0,0,0,1.48,0,0.37,0,0,0,0
3Month,0.1,0.1,0,0,0.1,0,0,4.16,0,0,0,0.1,0,0,0.1,0,0,0.1,0,0.1,0.31,0.31,0.21
22Month,0,0,0.14,0,0.41,0.14,0,0.68,0.14,0,0,0,0.14,0,0.14,0,0,0,0,0,0.14,0,0.14
