stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Retinal_cell
24hpf,0,0,0,0,0,0,1,2,2,0,0,0
72hpf,0.28,0,0,0.28,0,0,8.74,1.41,0.28,0.28,0.28,0.28
21Day,0,0.37,0.37,0.37,0,0.37,4.44,0.74,0,0,0,0
3Month,0,0,0.21,0,0.1,0,0,0,0,0,0,0
22Month,0,0,0,0,0,0.14,0,0,0.14,0,0,0
