stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,16,0,0,0,0,0,0,0,0,0,10,1,11,0,0,0,2,5,0,0,0,0,0,0,0,0
72hpf,6.48,1.97,0,5.36,0.28,0.56,0,0,0,0,0,0,0.56,20.57,1.41,7.05,0,0,0.28,27.06,4.79,3.1,0,0,0.56,0.28,0,0,0
21Day,2.96,0,0,0.74,0,0,0,0,0,0,0,0,0,0,1.85,5.18,0,0,1.11,0.74,0,0.37,0,0,0,0,0,0,0
3Month,0,0.31,0,1.66,0,0,0.31,0.21,0,3.12,0.83,0.31,0.1,0.73,0.83,0.83,0.1,0,5.2,0,0.1,0,0.62,3.74,0,0,0.1,0.52,0.31
22Month,0,0.14,0.41,0,0,0,0,0.55,0.14,2.6,0.14,0.27,0,0,0.41,0.41,0,0.27,0.41,0.14,0,0,0,2.46,0,0,0.14,0,0
