stage,Enterocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0.28,0.28,0,0.85,0,0,0.85,0
21Day,0.37,0,0,0,0,0,0,0,0,0.37,0,1.11,0
3Month,0,0,0.62,0.21,0.1,0,0.1,0,0,0,0,0,0
22Month,0,0.14,2.32,0,0.14,0,0,0.68,0,0,0.14,0,0.27
