stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,13,1,0,0,0,0,1,0,0,0,0,1,3,3,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,3.38,13.53,0.28,0,0,0,0,0,0,0,0,0.56,3.66,0.28,0.85,0,0,0,0,3.95,1.13,0.28,0,0.85,0,0,0.28,0,0,0,0,0
21Day,0,0,0,0.37,13.32,0.37,0,0,0,0,0,0,0.37,0.37,0,0.37,0.37,2.96,0,0,0,0,0.37,0,1.11,0,0.74,0,1.11,0,0,0.37,0,0,0.37
3Month,0.21,0,0.83,4.26,6.55,0,0.42,0.21,0.94,0,1.87,0.94,0.1,0.94,0.73,0.94,1.77,1.98,3.02,0.1,0.42,0.1,0.62,0,2.81,0,0,0.31,38.07,0.1,0,0.42,0.21,5.3,0.52
22Month,0,0.27,0.41,0.68,1.5,0,0.14,0,2.73,0,6.97,0.27,0,0.96,0.14,0.27,0.68,1.5,1.09,0.14,0.27,0.14,0.27,0.14,2.73,0.68,0,0.14,21.04,0.14,0.27,0.27,0.14,0,0.55
