stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0.28,0.28,0,0.28,0,0,0,0,0,0,0,0.56,0.28,0.28,0,0,0,73.28,2.54,0,0,0,0.28,0,0,0.56,0,0.28,0,0,0
21Day,0.74,0,0.37,0.37,1.48,0,0.37,0.37,0,0,0,0,0.37,0.37,1.48,0,0,0.37,67.34,4.44,0.37,0.37,0,0.74,1.48,0,1.11,1.48,0.74,0,0,0
3Month,0,0.21,1.25,0,0,0.21,0,2.08,0.21,0.1,0.42,0.21,0.42,0.73,0.31,0.1,0,0,0.62,0,0.21,0.21,0,0,0.1,1.46,0,0,0,0.1,1.04,0.31
22Month,0,0,0.68,0,0,0,0.41,6.97,0.14,0.14,0.27,0,0,0.14,0.14,0,0.14,0,0,0,0,0,0.14,0,0.14,0.14,0,0,0,0,0,0
