stage,Cardiomyocyte,Endothelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,5,0,0,0,1,1,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,1.69,0,0,0.28,0,1.69,0,0,0
21Day,0.37,0.37,0,0,0,0,0.37,0,1.85,0,0.37,0.37,0,0,0,0,0.37
3Month,0,0.1,0,0.1,0.73,0.1,0,0.1,0.42,0.1,0,0,0,0,0.1,0.1,0.1
22Month,0,0,0.14,0.14,0.55,0,0,0.27,0.82,0,0.14,0,0,0,0,0,0
