stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.25,0.28,0,0,0,0,0,0,0,0,0,2.82,0,0.56,0,0,0,4.51,3.66,0,0,1.13,0,0,0.56,0,0,0,0
21Day,0.37,0.37,0,4.81,0.37,0,0,0,0,0,0,0,0,0,1.11,0.37,2.96,0,0,0.37,2.96,1.11,0,0,1.11,0.37,0,0.74,0.37,0,0,0
3Month,0,0.1,0,2.08,0,0,0,0.62,0,3.22,0.62,0.21,1.25,0.21,0.42,0.62,0.94,0.21,0,0.1,0,0,0.21,0,0.1,0.31,1.35,0.42,0,0.1,0.31,0.1
22Month,0.14,0.27,0.27,1.09,0,0.14,0.14,0.82,0.55,9.57,0.14,0.27,0.96,0,0,0.27,1.37,0.14,0.27,0.27,0,0.14,0.27,0.14,0,0,0.41,0,0,0.14,0,0
