stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0
72hpf,0,0,0.56,0,0,0,0,0,0,0,0,0,0.28,0.28,0,16.07,0.56,0.56,0,0,0,0,0
21Day,0.37,1.85,0.37,0,0,0,0.37,0.37,0,0.37,0,0,0.37,0,0,10.36,0.74,0.74,0,0,0.37,0,0
3Month,0,0.1,0,0,0,0,0.73,0,0,0,0,0,0,0,0.1,0.1,0,0,0.1,0.1,0,0.1,0.1
22Month,0,0.41,0,0.14,0.14,0.27,4.65,0,0.55,0,0.14,0.41,0.55,0.27,0,0,0,0,0,0.14,0.14,0,0.55
