stage,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_cell,Retinal_cone_cell
72hpf,0,0,0,0.28,0.85,0.28,0,0.85,0.28
21Day,0,0,0,0,0,0,0.37,0.37,4.44
22Month,1.23,0.14,0.14,0,0,0,0,0.14,0
