stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,5,0,0,1,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0.28,2.25,0.56,0,0,0,0,0.28,0,0
21Day,0,0,0,1.85,0.74,0,0,0,0,0.37,0,0,0.37,0,0.37,0,0.37,1.11,0.74,0,1.11,0,0,0,0,0
3Month,0,0.1,0,1.35,0,0.21,0,2.39,0,0,0.52,0.1,0.1,0.31,0.42,0,0,0,2.29,0,0.1,0.1,0.62,0,0.42,0
22Month,0.14,0.27,0.14,1.09,0,0,0.27,16.26,0.27,0,0.41,0,0,0.27,0.55,0.14,0,0,0.82,0.14,0,0,0.68,0,0,0.27
