stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
72hpf,0.28,0,0.56,0,0,0,0,0,0,0.28,0,0.28,0,1.41,0.28,0.28,0,0,0
21Day,0,0.37,0,0.37,0,0,0,0,0.37,0,0.37,0.37,0,1.85,0.37,0,0.37,0.74,0
3Month,0,0,0.1,0,0,0.52,0.21,0,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0,0.55,0,0.14,1.91,0,0.14,0,0.27,0.41,0.14,0.14,0,0,0,0,0,0.14
