stage,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Retinal_cell
24hpf,0,0,0,0,0,0,1,0,0,0
72hpf,0.28,0,0,0,0,3.95,0,0,0,0.28
21Day,0.37,0.37,0,0.37,0,8.51,0.74,0,0.37,0
3Month,0,0,0.1,0,0,0.31,0,0.1,0,0
22Month,0,0,0.82,0,0.41,0,0,0,0,0
