stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,32,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,12,0,0,6,0,0,0,0,0,0,0,0,0
72hpf,16.91,4.23,0,47.63,45.94,27.06,0,0,0,0.28,0,0.28,0,0.85,0,8.46,60.88,3.38,57.22,0,2.25,0.85,0.56,218.43,153.33,0.56,3.38,919.67,0.85,0,42,2.25,0.85,7.05,0,0,0
21Day,15.54,2.59,3.33,43.66,10.36,29.6,2.96,0,0.74,1.85,0,6.29,1.11,9.99,6.66,2.96,24.42,6.66,77.7,0,0.37,6.29,0,51.8,35.89,0.37,0.74,673.38,14.8,0.37,11.84,4.44,13.32,2.96,0.74,0,7.03
3Month,0,0,0,0.52,0.1,0,0,0.83,0,0.62,0,3.22,0.52,0.1,1.04,0.31,0.73,0.94,12.07,1.14,0,0.21,0.31,0.1,0,0.1,0.21,11.96,0.21,2.08,0.31,0,0,0.21,0.21,0.1,0.31
22Month,0,0.96,0.14,1.91,0,0,0,0.41,0.55,0.82,0.41,12.98,0.55,0.14,2.05,0.14,0.27,0.55,4.1,0.27,0.55,0.14,0,0,0.27,0.14,0,1.64,0.14,0.68,0.68,0.14,0,0,0.14,0,0
