stage,Epithelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,1,0,1,0,1,0,0
3Month,0.1,0,0.1,0.1,0.1,0,0.1,0,3.64,0.1
22Month,0.14,0.14,0.27,0,0.14,0.27,0,0,0.82,0
