stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,1.13,0.28,0,0,0,0,0.28,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0.74,1.48,0,0
3Month,0.1,0.1,0.1,0.21,0.52,0.1,0.1,0.1,0.1,0,0,0.1,0.1,2.29,0,0,27.88,0.21
22Month,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0
