stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.56,0.28,0.85,0,0,0,0,0,0,1.13,0.56,0,1.69,0,0,0,0,10.99,4.51,0,0,4.51,0,0,0,0,0,0,0,0
21Day,0.37,0.37,2.22,1.11,0,0,0,0,0.37,0.37,0,1.11,0.37,5.18,0,0,0.37,0,2.96,2.22,0,0,2.22,2.22,0,0.37,0.74,1.85,0.37,0,0
3Month,0,0.1,0.83,0,0.1,0.42,0,1.25,0.21,0.52,0,0.52,0.1,0.1,0.21,0,0.21,0.1,0,0,0,0,0,0,0.31,0,0,0,0,0.73,0.21
22Month,0,0.27,0.68,0,0,0.14,0.14,3.42,0,0.14,0.14,0,0,0.27,0,0.14,0,0,0,0,0.14,0.14,0,0,0,0,0.14,0,0,0,0.14
