stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0,0.28,0,0.56,0,0,0,0,0,0,0,0,1.41,0.28,2.54,0,0.56,1.13,0,126.27,2.82,0.56,0.28,2.82,0,0,0,0.28,0,0,0,0,0
21Day,0.74,0.74,3.7,0.37,6.29,0,0,0.37,0,0.37,1.85,0,0,2.59,1.11,8.51,0,0,1.11,0.74,153.54,2.22,1.48,2.59,3.7,3.33,0.37,2.22,1.48,2.22,0.37,0,0,0.74
3Month,0,0.1,1.14,0.1,0,0.1,0.1,0.21,0.73,0,0,0.21,0.31,0.1,0.42,1.46,0.31,0,0.1,0.1,6.55,0,1.98,0.31,0,0.21,1.35,5.41,0,0,0,0.21,2.91,0.42
22Month,0,0.14,0.68,0,0,0.14,0,0.27,1.78,0.14,0,0.55,0,0.14,0,0.55,0,0.14,0,0.14,7.24,0,1.5,0.27,0.14,0,0.55,8.88,0.41,0,0,0,0,0.14
