stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,12.97,0.85,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,3.33,0.37,0,0,0,0.37,0,0,0,0,0,0,0.37
3Month,0.42,1.25,0.94,8.43,0.31,0.1,1.77,2.91,0,17.58,3.33,0.52,5.51,1.14,3.02,3.22,3.22,0.62,0.1,1.25,1.98,0.62,0.1,1.04,0.62,0.1,3.95,240.7,0.52,0.1,0.1,1.66,506.04,3.12
22Month,0,0,0.14,0.14,0,0,0,0,0.14,2.19,0.14,0,0.41,0,0.27,0.14,0.41,0,0.14,0,0,0.14,0,0,0,0.27,0.14,13.12,0.14,0,0,0,2.05,0.14
