stage,Epithelial_cell,Hepatocyte,Ionocyte,Neural_cell,Neurosecretory_cell,Primordial_germ_cell
72hpf,0.28,0,0,0,0,0
3Month,0.1,0.73,0.1,0.1,0.21,0.21
22Month,0.14,0.55,0,0,0,0
