stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0,1.69,0.56,0.28,4.51,3.1,0.28,0,0.56,0,0,0.85,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0.37,0,0.37,0,0.37,0,0,0,0,1.11,0,0,0,0
3Month,0.21,0,0.31,0,0.1,0.1,0,0,0.62,0.52,0,0.31,0.1,0.1,0,0.42,0,0,0,0,0,0.1,3.64,0,0.1,0.52,0.62
22Month,0,0.14,0,0,0,0,0.14,0,1.23,0,0.27,0.27,0,0,0.41,0.27,0,0,0,0.55,0,0.14,2.87,0,0,0,0
