stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0.56,0,0,0,0,0
21Day,0,0.74,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0.74,0,0,0,0,0,0
3Month,0.21,1.14,0.1,0.1,3.02,0.42,0.1,0.52,0.31,0,0,0.1,0.1,0,0,0,0.21,0.1,0,0.1,0
22Month,0,0.14,0,0.14,1.37,0,0,0.14,0,0.27,0.14,0,0,0,0,0,0,0,0.14,0,0.14
