stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte
24hpf,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,16,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,1.97,1.97,0,0.56,0,0.56,0,0.28,1.97,1.41,0,0.56,0,0.56,0.28,0,0
21Day,0.37,0,2.96,0.74,0,0,0,0,0,0,0.37,0,0,0,1.48,0,1.11,0,0,0,0,0.37,0.74,0.37,0.37,0,1.11,0,0.37,0
3Month,0,0.1,2.18,0,0,0.1,0.21,0.21,0,0,8.43,0.31,3.74,0.21,0.52,0.1,0.1,0.21,0,0.1,0.52,0,0,0,0,0.31,5.41,0,0,0.83
22Month,0,0,0.41,0,0.14,0,0,0,0.27,0,6.29,0,1.09,0,0,0.14,0,0,0.27,0,0,0,0,0,0,0,1.37,0,0,0
