stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,T_cell
24hpf,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0
72hpf,0.56,0.56,0,0,1.41,0.56,0,0,0,0,0,0,0,0,0,0.56,0,1.41,0,0,0,1.13,5.36,0,0.28,0.56,0,4.51,0
21Day,0.37,0,0.37,1.48,0,2.22,0,0.37,0.74,0,0,0,1.48,0,0,0,1.11,2.96,0,0,0,1.11,2.59,0,0,1.11,0,1.48,0.74
3Month,0,0,0,0.83,0,0,0.1,0,0.94,0,2.81,0.73,0,0.52,0.1,0.31,0.73,0.21,0.1,0.1,0.1,0.1,0.21,0.31,0,0,0.1,0,1.14
22Month,0,0.14,0,0.41,0,0,0,0.14,1.09,0.41,3.96,0.14,0,0.55,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0.14
