stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell
72hpf,0,0,0,0,0,0,0,0,0.28,0.28,5.92,0,0
21Day,0.37,0,0.37,0,0.74,0,0,0,0.37,0,22.94,0,0.37
3Month,0,0.1,0,0.21,0.73,0,0.1,0,0,0,1.35,0.1,0
22Month,0,0,0,0,0.55,0.14,0,0.14,0,0,0,0,0
