stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Retinal_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0
72hpf,0,0,0,0,0,0,0,0,3.95,0.28,4.23,1.13
21Day,0,0.37,0.37,0.37,0,0,0,0.37,2.22,0,4.07,4.07
3Month,0,0,0,0,0.1,0,0.1,0,0,0,0.1,0
22Month,0.14,0,0,0,0,0.14,0.68,0.14,0.14,0,5.33,0
