stage,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,1,0,0,0
72hpf,0.85,0.28,0,0.28,0.28,0.28,0,0,0,0.28
21Day,0.37,0,0,0,0,0,0,0.37,0,0
3Month,0,0,0.21,0,0,0,0,0,0.1,0
