stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,2,0,0,0,0,0,0,0,2,0,2,3,0,0,0,0,0,0
72hpf,0,0,0.56,0.28,0,0,0,0,0,0.28,0,0,0.28,3.1,1.13,0.28,0,0,0.28,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0.37,0,0
3Month,0.1,0.1,0.31,0,0.21,0.73,0.1,0.31,0.1,0,0.1,0.21,0.1,0.42,1.35,0,0,0.1,0,2.08
22Month,0,0,0.82,0,0,1.5,0.41,0.14,0,0.27,0.14,0,0,0.41,1.78,0,0.14,0,0,0
