stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,5.64,5.92,0.28,0,0.85,0,1.41,0,0,0,0.28,0,0
21Day,0.37,0,0,0.37,0.37,0.37,0,2.96,3.7,2.96,0,1.48,0.74,0,0.37,0,0.37,0.37,0,0
3Month,0,0.1,0.21,0,0,0,0.1,0.52,0.21,0,0.1,0,0,0,0,0.94,0,0,0.31,0.1
22Month,0,0,0.41,0,0,0,0.55,0,0.27,0,0,0,0,0,0,0.27,0,0.14,0.14,0
