stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0.28,0,0,0,1.13,0.85,0,0,0,0,0,0,0,0
21Day,0,0,0.74,0.74,0,0,0,0,0,1.11,0,0.74,0,0,1.85,0.74,1.11,0,0,0,0.74,4.81,0.37,0.37,2.22,0.37,0,1.11,0,0
3Month,0.21,0.21,3.74,0,0.1,0.1,1.35,0.21,0,18.41,0.73,0.21,6.66,0.1,2.29,0.21,0.73,0,0.42,0.21,0,0,0.31,0.83,0,0.21,1.46,0,0.1,0.62
22Month,0,0.14,0.55,0,0,0,0.82,0.27,0.27,8.88,0,0.14,10.11,0,0,0.96,0.55,0.14,0,0,0.14,0.14,0.14,1.37,0.14,0,0.27,0.68,0,0
