stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,0,0,1.41,0.28,0.28,0,0,0,0,0,0,0,0,0.28,1.13,0.85,2.25,0,0,10.43,3.66,0,0,0.85,0,0,0.85,0.28,0,0,0
21Day,0,0,0,2.59,0,0,0,0.37,0,0,0.37,0,1.11,0,0,0.37,0,1.48,0,0.37,1.11,0.37,0,0,0.37,0.37,0,0,0,0,0,0
3Month,0,0.1,0.52,4.06,0,0,0.1,1.25,0.31,0,2.08,0.52,0.52,2.18,0,1.25,2.6,0.52,0.1,0,0.1,0,0.1,0.1,0,0.52,13.52,0.1,0,0.21,26.11,0.31
22Month,0,0,0.27,0.14,0,0,0,0.96,0.14,0.14,3.69,0,0,3.01,0,0,1.37,0.55,0,0,0,0,0.14,0,0,0,0.27,0.55,0,0.14,0.27,0.14
