stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,1.41,0,0,91.6,0.28,0,0,0,0,0,0,20.29,10.99,0,0,0
21Day,0.37,0.37,0.74,0,0.37,0,0,1.11,0,0,0,0,0.37,0.37,1.85,0,0.74,11.84,0.37,0,0.37,0,0.74,0.74,0,25.16,42.18,0.74,0,0.74
3Month,0,0.94,0,0,0,0.1,0.1,1.04,0.42,0,0.42,0.1,0,0,0,0,0,0.21,0,0.1,0,0,0,0,0.21,0.94,0.31,0.52,0.1,0.31
22Month,0,1.5,0,0.14,0.14,0,0.41,2.32,0.68,0.14,0,0,0,0.27,0.55,0.27,0,0.14,0.14,0.14,0.14,0.14,0.14,0,0,34.98,0.14,0.55,0,0.41
