stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4,0,0,0,0,0,0,0,0,0,0,0,0,115,0,2,0,0,1,4,0,0,1,0,0,0,0,0,0
72hpf,12.97,8.17,0.56,0.56,0,0,0,0,0,0,0.28,0,0.56,176.44,0.56,1.41,0,0,7.33,4.51,0.28,0,2.54,0,0.56,0,0.56,0,0
21Day,19.98,11.84,0,0.74,0,0.37,0,0,0.37,0,0,0,0.37,9.99,0.74,1.85,0,0,1.85,0.37,0,0,0.37,0.37,0.37,1.48,1.48,0,0
3Month,0.1,10.09,0,0,0,0,0.1,0,0.52,0.31,0,0.21,0,0,0.1,0.1,0,0.1,0.21,0,0,0,0,0.1,0,0,0.21,0.1,0.1
22Month,0.14,2.05,0,0,0.14,0,0,0.14,6.7,0.14,0,0,0,0,0.68,0,0.27,0,0.27,0,0,0.27,0,0.82,0.41,0,0,0,0
