stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.28,0,0,0,0,5.07,0.28,0,0.56,0,0,0,0
21Day,0,0,0,0.37,0.74,0,1.11,0,0,0,0,0,1.48,0,0,0,0.37,0,0,0,0,3.33,0,0,0.37,0,0,0,0.74
3Month,0,0,0.21,23.61,0,0,0,0.31,2.29,0,2.18,1.14,0.1,1.14,0.42,2.39,1.56,1.04,0.1,0.42,0.31,24.13,0,0.1,0,0.21,0.83,0.1,1.04
22Month,0.14,0.55,0,1.64,0,0.14,0.14,0,4.24,0.14,6.97,0.82,0.68,0.55,0.27,0.14,1.5,1.09,0,0,0,12.3,0,0.14,0.14,0,1.64,0,0.41
