stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0.28,3.38,0,0,0,0,0.28,0
21Day,0,0.37,0.74,0,0,0,0,0,10.73,0,0,0,0,0,0
3Month,0.1,0,3.12,0,0.1,0.21,0.1,0,0.21,0.1,0.1,0.1,0.1,0.1,1.35
22Month,0,0,0.41,0,0,0.14,0,0,0.27,0,0.14,0.27,0,0,0
